node,node_size,node_color
J. Cole,8400.0,4.0
Meek Mill,7500.0,6.0
DJ Khaled,7600.0,9.0
Rick Ross,7600.0,7.0
Wale,7000.0,10.0
PARTYNEXTDOOR,7400.0,7.0
2 Chainz,7600.0,7.0
Tory Lanez,7800.0,7.0
Future,8700.0,4.0
Young Thug,8400.0,9.0
Jeremih,7400.0,8.0
Bryson Tiller,7700.0,6.0
French Montana,7700.0,6.0
Miguel,7600.0,4.0
21 Savage,8600.0,3.0
Metro Boomin,7800.0,4.0
Migos,7700.0,5.0
Ty Dolla ign,8000.0,7.0
Lil Wayne,8500.0,5.0
Young Money,1240.0,9.0
ScHoolboy Q,7200.0,7.0
Ace Hood,1220.0,8.0
Jay Rock,7000.0,8.0
Waka Flocka Flame,1280.0,8.0
Mike WiLL Made-It,1280.0,5.0
YG,7500.0,7.0
Kid Ink,6700.0,6.0
Bas,6600.0,8.0
AAP Ferg,7100.0,7.0
VIC MENSA,1240.0,7.0
Juicy J,7300.0,9.0
B.o.B,7100.0,7.0
Big Sean,7800.0,8.0
Pusha T,7300.0,6.0
AAP Rocky,8100.0,3.0
Kid Cudi,8100.0,3.0
Freddie Gibbs,6600.0,7.0
Kendrick Lamar,8800.0,4.0
Nipsey Hussle,6600.0,7.0
Isaiah Rashad,6600.0,4.0
Joey Bada,7400.0,4.0
Chance the Rapper,7500.0,5.0
Curreny,1280.0,9.0
Lupe Fiasco,6600.0,8.0
DJ Drama,1140.0,8.0
Fabolous,6600.0,9.0
Jim Jones,1180.0,6.0
Yo Gotti,6900.0,9.0
Jeezy,6900.0,10.0
Jadakiss,6600.0,9.0
Birdman,1260.0,6.0
Plies,1260.0,10.0
T.I.,7300.0,9.0
T-Pain,7600.0,8.0
Tyga,7900.0,7.0
Juelz Santana,1260.0,7.0
Bun B,1180.0,8.0
Young Buck,1200.0,10.0
Slim Thug,1180.0,9.0
The Diplomats,940.0,8.0
Young Dro,960.0,10.0
Beanie Sigel,1060.0,11.0
Lloyd Banks,6500.0,7.0
Dom Kennedy,1180.0,7.0
Big K.R.I.T.,1200.0,12.0
The-Dream,1260.0,7.0
Lloyd,6500.0,8.0
August Alsina,1240.0,5.0
K CAMP,1240.0,10.0
BJ The Chicago Kid,1220.0,7.0
Jacquees,6500.0,7.0
Sevyn Streeter,1180.0,9.0
TWENTY88,960.0,2.0
Teyana Taylor,1220.0,9.0
Omarion,1200.0,7.0
Majid Jordan,6600.0,4.0
Roy Woods,1220.0,6.0
6LACK,7400.0,6.0
Yo Trane,940.0,4.0
TYuS,600.0,2.0
PnB Rock,6900.0,5.0
dvsn,1200.0,6.0
Ramriddlz,615.0,4.0
Ryan Trey,1060.0,2.0
Che Ecru,980.0,2.0
ELHAE,940.0,6.0
Tems,7600.0,6.0
Eli Sostre,940.0,2.0
Vory,1200.0,4.0
Jhené Aiko,7500.0,4.0
Quavo,7800.0,7.0
Rich Homie Quan,1260.0,6.0
Young Scooter,1060.0,7.0
Zaytoven,1100.0,11.0
Gucci Mane,7700.0,8.0
Preme,1220.0,7.0
Trey Songz,6900.0,7.0
Chief Keef,7200.0,10.0
Lil Durk,8400.0,6.0
Young Dolph,7100.0,7.0
NAV,7400.0,8.0
Gunna,8400.0,4.0
Lil Yachty,7600.0,6.0
AAP Mob,1200.0,4.0
Don Toliver,7800.0,3.0
Famous Dex,1200.0,8.0
Kodak Black,8000.0,6.0
Huncho Jack,1160.0,5.0
Lil Keed,1200.0,5.0
SahBabii,1100.0,7.0
Young Nudy,6900.0,6.0
Rae Sremmurd,7200.0,8.0
Desiigner,1260.0,5.0
Pi’erre Bourne,1280.0,6.0
UnoTheActivist,1120.0,8.0
Mario,1280.0,5.0
Pleasure P,980.0,6.0
Pretty Ricky,1100.0,12.0
J. Holiday,1040.0,8.0
Sammie,1220.0,6.0
Keyshia Cole,1280.0,9.0
Ginuwine,6600.0,8.0
Baby Bash,1220.0,12.0
Bow Wow,1200.0,8.0
Bobby V.,1160.0,6.0
DaniLeigh,1220.0,5.0
DeJ Loaf,1220.0,7.0
Kaash Paige,1220.0,1.0
Max B,660.0,1.0
Uncle Murda,920.0,3.0
Vado,660.0,3.0
Styles P,1220.0,8.0
H.E.R.,7400.0,3.0
Brent Faiyaz,8200.0,2.0
Ro James,900.0,2.0
Syd,6500.0,6.0
Xavier Omär,1080.0,6.0
SiR,1240.0,5.0
Jazmine Sullivan,1260.0,9.0
Sheck Wes,6500.0,4.0
Lil Baby,8700.0,4.0
Trippie Redd,8100.0,3.0
88GLAM,1140.0,9.0
Flipp Dinero,1200.0,6.0
Playboi Carti,8100.0,4.0
Quality Control,1280.0,7.0
Rich The Kid,6800.0,10.0
Comethazine,1260.0,5.0
Roddy Ricch,8000.0,3.0
YBN Nahmir,1260.0,6.0
Bobby Shmurda,1200.0,5.0
Lil Uzi Vert,8400.0,4.0
