edge,edge_weight
"('Wale', 'Big Sean')",2.0
"('2 Chainz', 'Big Sean')",5.0
"('Rick Ross', 'Big Sean')",3.0
"('Young Money', 'Big Sean')",0.0
"('ScHoolboy Q', 'Big Sean')",0.0
"('Meek Mill', 'Big Sean')",3.0
"('Ace Hood', 'Big Sean')",0.0
"('French Montana', 'Big Sean')",1.0
"('Jeremih', 'Big Sean')",2.0
"('Jay Rock', 'Big Sean')",0.0
"('Waka Flocka Flame', 'Big Sean')",0.0
"('Ty Dolla $ign', 'Big Sean')",6.0
"('Mike WiLL Made-It', 'Big Sean')",0.0
"('YG', 'Big Sean')",0.0
"('Kid Ink', 'Big Sean')",0.0
"('Bas', 'Big Sean')",0.0
"('A$AP Ferg', 'Big Sean')",0.0
"('VIC MENSA', 'Big Sean')",0.0
"('Juicy J', 'Big Sean')",6.0
"('B.o.B', 'Big Sean')",0.0
"('Big Sean', 'J. Cole')",0.0
"('Wale', 'J. Cole')",0.0
"('ScHoolboy Q', 'J. Cole')",0.0
"('Pusha T', 'J. Cole')",0.0
"('Jay Rock', 'J. Cole')",0.0
"('Meek Mill', 'J. Cole')",0.0
"('2 Chainz', 'J. Cole')",4.0
"('A$AP Rocky', 'J. Cole')",0.0
"('Kid Cudi', 'J. Cole')",0.0
"('Freddie Gibbs', 'J. Cole')",0.0
"('Kendrick Lamar', 'J. Cole')",3.0
"('Nipsey Hussle', 'J. Cole')",0.0
"('Rick Ross', 'J. Cole')",0.0
"('Isaiah Rashad', 'J. Cole')",0.0
"('YG', 'J. Cole')",0.0
"('Joey Bada$$', 'J. Cole')",0.0
"('Chance the Rapper', 'J. Cole')",0.0
"('Curren$y', 'J. Cole')",0.0
"('Lupe Fiasco', 'J. Cole')",0.0
"('Miguel', 'J. Cole')",3.0
"('Rick Ross', 'Meek Mill')",35.0
"('French Montana', 'Meek Mill')",9.0
"('DJ Drama', 'Meek Mill')",0.0
"('Wale', 'Meek Mill')",19.0
"('Nipsey Hussle', 'Meek Mill')",0.0
"('Ace Hood', 'Meek Mill')",3.0
"('2 Chainz', 'Meek Mill')",5.0
"('Young Money', 'Meek Mill')",0.0
"('Fabolous', 'Meek Mill')",12.0
"('Jim Jones', 'Meek Mill')",0.0
"('Waka Flocka Flame', 'Meek Mill')",0.0
"('Yo Gotti', 'Meek Mill')",9.0
"('Pusha T', 'Meek Mill')",4.0
"('Jay Rock', 'Meek Mill')",0.0
"('Jeezy', 'Meek Mill')",1.0
"('Kid Ink', 'Meek Mill')",0.0
"('Big Sean', 'Meek Mill')",4.0
"('Juicy J', 'Meek Mill')",0.0
"('DJ Khaled', 'Meek Mill')",0.0
"('Jadakiss', 'Meek Mill')",3.0
"('Young Money', 'DJ Khaled')",0.0
"('Rick Ross', 'DJ Khaled')",113.0
"('DJ Drama', 'DJ Khaled')",0.0
"('Yo Gotti', 'DJ Khaled')",11.0
"('Birdman', 'DJ Khaled')",31.0
"('Ace Hood', 'DJ Khaled')",95.0
"('Fabolous', 'DJ Khaled')",11.0
"('Plies', 'DJ Khaled')",22.0
"('T.I.', 'DJ Khaled')",21.0
"('Kid Ink', 'DJ Khaled')",0.0
"('French Montana', 'DJ Khaled')",31.0
"('Jeezy', 'DJ Khaled')",14.0
"('Wale', 'DJ Khaled')",24.0
"('T-Pain', 'DJ Khaled')",22.0
"('2 Chainz', 'DJ Khaled')",24.0
"('Meek Mill', 'DJ Khaled')",66.0
"('Waka Flocka Flame', 'DJ Khaled')",8.0
"('Jim Jones', 'DJ Khaled')",0.0
"('Tyga', 'DJ Khaled')",12.0
"('Ty Dolla $ign', 'DJ Khaled')",0.0
"('DJ Drama', 'Rick Ross')",0.0
"('Ace Hood', 'Rick Ross')",0.0
"('Young Money', 'Rick Ross')",0.0
"('Birdman', 'Rick Ross')",0.0
"('Jim Jones', 'Rick Ross')",0.0
"('Fabolous', 'Rick Ross')",0.0
"('Jeezy', 'Rick Ross')",16.0
"('Juelz Santana', 'Rick Ross')",0.0
"('Wale', 'Rick Ross')",15.0
"('Bun B', 'Rick Ross')",0.0
"('Young Buck', 'Rick Ross')",0.0
"('Yo Gotti', 'Rick Ross')",8.0
"('Curren$y', 'Rick Ross')",0.0
"('Slim Thug', 'Rick Ross')",0.0
"('The Diplomats', 'Rick Ross')",0.0
"('Young Dro', 'Rick Ross')",0.0
"('Beanie Sigel', 'Rick Ross')",0.0
"('Jadakiss', 'Rick Ross')",2.0
"('Plies', 'Rick Ross')",0.0
"('Lloyd Banks', 'Rick Ross')",0.0
"('DJ Drama', 'Wale')",0.0
"('Rick Ross', 'Wale')",19.0
"('Fabolous', 'Wale')",3.0
"('Dom Kennedy', 'Wale')",0.0
"('Young Money', 'Wale')",0.0
"('Big K.R.I.T.', 'Wale')",0.0
"('The-Dream', 'Wale')",0.0
"('Lloyd', 'Wale')",6.0
"('August Alsina', 'Wale')",0.0
"('Nipsey Hussle', 'Wale')",1.0
"('K CAMP', 'Wale')",0.0
"('Plies', 'Wale')",0.0
"('BJ The Chicago Kid', 'Wale')",0.0
"('Jacquees', 'Wale')",2.0
"('Big Sean', 'Wale')",6.0
"('Sevyn Streeter', 'Wale')",0.0
"('TWENTY88', 'Wale')",0.0
"('Teyana Taylor', 'Wale')",0.0
"('Omarion', 'Wale')",0.0
"('Jadakiss', 'Wale')",0.0
"('Majid Jordan', 'PARTYNEXTDOOR')",0.0
"('Bryson Tiller', 'PARTYNEXTDOOR')",0.0
"('Roy Woods', 'PARTYNEXTDOOR')",0.0
"('6LACK', 'PARTYNEXTDOOR')",0.0
"('Yo Trane', 'PARTYNEXTDOOR')",0.0
"('TYuS', 'PARTYNEXTDOOR')",0.0
"('PnB Rock', 'PARTYNEXTDOOR')",0.0
"('dvsn', 'PARTYNEXTDOOR')",0.0
"('Ramriddlz', 'PARTYNEXTDOOR')",0.0
"('Ryan Trey', 'PARTYNEXTDOOR')",0.0
"('TWENTY88', 'PARTYNEXTDOOR')",0.0
"('Che Ecru', 'PARTYNEXTDOOR')",0.0
"('ELHAE', 'PARTYNEXTDOOR')",0.0
"('Tems', 'PARTYNEXTDOOR')",0.0
"('Miguel', 'PARTYNEXTDOOR')",0.0
"('Tory Lanez', 'PARTYNEXTDOOR')",0.0
"('Eli Sostre', 'PARTYNEXTDOOR')",0.0
"('Vory', 'PARTYNEXTDOOR')",0.0
"('Jhené Aiko', 'PARTYNEXTDOOR')",0.0
"('Jeremih', 'PARTYNEXTDOOR')",0.0
"('DJ Drama', '2 Chainz')",1.0
"('Juicy J', '2 Chainz')",1.0
"('Waka Flocka Flame', '2 Chainz')",2.0
"('Yo Gotti', '2 Chainz')",1.0
"('Rick Ross', '2 Chainz')",7.0
"('Young Money', '2 Chainz')",0.0
"('Jeezy', '2 Chainz')",3.0
"('Ace Hood', '2 Chainz')",0.0
"('Birdman', '2 Chainz')",1.0
"('Big K.R.I.T.', '2 Chainz')",0.0
"('Jim Jones', '2 Chainz')",0.0
"('Curren$y', '2 Chainz')",0.0
"('Mike WiLL Made-It', '2 Chainz')",0.0
"('Wale', '2 Chainz')",3.0
"('Quavo', '2 Chainz')",4.0
"('Rich Homie Quan', '2 Chainz')",6.0
"('Young Scooter', '2 Chainz')",0.0
"('Zaytoven', '2 Chainz')",0.0
"('French Montana', '2 Chainz')",2.0
"('Gucci Mane', '2 Chainz')",3.0
"('Kid Ink', 'Tory Lanez')",0.0
"('Bryson Tiller', 'Tory Lanez')",2.0
"('Ty Dolla $ign', 'Tory Lanez')",0.0
"('French Montana', 'Tory Lanez')",0.0
"('Meek Mill', 'Tory Lanez')",2.0
"('August Alsina', 'Tory Lanez')",0.0
"('Jeremih', 'Tory Lanez')",0.0
"('6LACK', 'Tory Lanez')",0.0
"('PARTYNEXTDOOR', 'Tory Lanez')",0.0
"('Wale', 'Tory Lanez')",0.0
"('Preme', 'Tory Lanez')",0.0
"('Roy Woods', 'Tory Lanez')",0.0
"('PnB Rock', 'Tory Lanez')",2.0
"('Jacquees', 'Tory Lanez')",0.0
"('Nipsey Hussle', 'Tory Lanez')",0.0
"('Trey Songz', 'Tory Lanez')",4.0
"('Quavo', 'Tory Lanez')",2.0
"('Vory', 'Tory Lanez')",0.0
"('Rick Ross', 'Tory Lanez')",0.0
"('Majid Jordan', 'Tory Lanez')",0.0
"('Young Thug', 'Future')",38.0
"('2 Chainz', 'Future')",3.0
"('Yo Gotti', 'Future')",3.0
"('Meek Mill', 'Future')",2.0
"('Gucci Mane', 'Future')",12.0
"('French Montana', 'Future')",4.0
"('Chief Keef', 'Future')",0.0
"('Lil Durk', 'Future')",5.0
"('Rick Ross', 'Future')",5.0
"('Young Dolph', 'Future')",1.0
"('YG', 'Future')",2.0
"('A$AP Ferg', 'Future')",1.0
"('21 Savage', 'Future')",2.0
"('Waka Flocka Flame', 'Future')",1.0
"('Quavo', 'Future')",0.0
"('Juicy J', 'Future')",7.0
"('NAV', 'Future')",0.0
"('Migos', 'Future')",0.0
"('Gunna', 'Future')",10.0
"('Lil Yachty', 'Future')",0.0
"('A$AP Mob', 'Young Thug')",0.0
"('21 Savage', 'Young Thug')",3.0
"('Quavo', 'Young Thug')",7.0
"('Gunna', 'Young Thug')",56.0
"('Migos', 'Young Thug')",11.0
"('Lil Yachty', 'Young Thug')",0.0
"('Don Toliver', 'Young Thug')",2.0
"('A$AP Ferg', 'Young Thug')",0.0
"('Famous Dex', 'Young Thug')",0.0
"('Kodak Black', 'Young Thug')",0.0
"('Huncho Jack', 'Young Thug')",0.0
"('Lil Keed', 'Young Thug')",12.0
"('SahBabii', 'Young Thug')",0.0
"('Young Nudy', 'Young Thug')",0.0
"('NAV', 'Young Thug')",9.0
"('Rae Sremmurd', 'Young Thug')",0.0
"('Desiigner', 'Young Thug')",0.0
"('Pi’erre Bourne', 'Young Thug')",0.0
"('Mike WiLL Made-It', 'Young Thug')",0.0
"('UnoTheActivist', 'Young Thug')",0.0
"('Trey Songz', 'Jeremih')",0.0
"('Lloyd', 'Jeremih')",0.0
"('Mario', 'Jeremih')",0.0
"('Pleasure P', 'Jeremih')",0.0
"('Pretty Ricky', 'Jeremih')",0.0
"('Omarion', 'Jeremih')",0.0
"('The-Dream', 'Jeremih')",0.0
"('J. Holiday', 'Jeremih')",0.0
"('Miguel', 'Jeremih')",0.0
"('T-Pain', 'Jeremih')",0.0
"('August Alsina', 'Jeremih')",0.0
"('Sammie', 'Jeremih')",0.0
"('Keyshia Cole', 'Jeremih')",0.0
"('Ginuwine', 'Jeremih')",0.0
"('Jhené Aiko', 'Jeremih')",2.0
"('Baby Bash', 'Jeremih')",0.0
"('Young Money', 'Jeremih')",0.0
"('Bryson Tiller', 'Jeremih')",0.0
"('Bow Wow', 'Jeremih')",0.0
"('Bobby V.', 'Jeremih')",0.0
"('Roy Woods', 'Bryson Tiller')",0.0
"('PARTYNEXTDOOR', 'Bryson Tiller')",0.0
"('Majid Jordan', 'Bryson Tiller')",0.0
"('6LACK', 'Bryson Tiller')",0.0
"('Yo Trane', 'Bryson Tiller')",0.0
"('TWENTY88', 'Bryson Tiller')",0.0
"('Ryan Trey', 'Bryson Tiller')",0.0
"('PnB Rock', 'Bryson Tiller')",0.0
"('TYuS', 'Bryson Tiller')",0.0
"('Jhené Aiko', 'Bryson Tiller')",0.0
"('Che Ecru', 'Bryson Tiller')",0.0
"('Tory Lanez', 'Bryson Tiller')",0.0
"('Jeremih', 'Bryson Tiller')",0.0
"('Miguel', 'Bryson Tiller')",0.0
"('DaniLeigh', 'Bryson Tiller')",0.0
"('DeJ Loaf', 'Bryson Tiller')",0.0
"('dvsn', 'Bryson Tiller')",0.0
"('ELHAE', 'Bryson Tiller')",0.0
"('August Alsina', 'Bryson Tiller')",0.0
"('Kaash Paige', 'Bryson Tiller')",0.0
"('Jim Jones', 'French Montana')",3.0
"('Max B', 'French Montana')",90.0
"('Meek Mill', 'French Montana')",1.0
"('Juelz Santana', 'French Montana')",0.0
"('DJ Drama', 'French Montana')",0.0
"('Rick Ross', 'French Montana')",42.0
"('Fabolous', 'French Montana')",7.0
"('Waka Flocka Flame', 'French Montana')",3.0
"('The Diplomats', 'French Montana')",0.0
"('Uncle Murda', 'French Montana')",3.0
"('Vado', 'French Montana')",2.0
"('Kid Ink', 'French Montana')",0.0
"('Ace Hood', 'French Montana')",12.0
"('Yo Gotti', 'French Montana')",0.0
"('Jadakiss', 'French Montana')",11.0
"('Young Money', 'French Montana')",0.0
"('Styles P', 'French Montana')",1.0
"('Juicy J', 'French Montana')",21.0
"('Lloyd Banks', 'French Montana')",3.0
"('Wale', 'French Montana')",4.0
"('dvsn', 'Miguel')",0.0
"('Majid Jordan', 'Miguel')",0.0
"('TWENTY88', 'Miguel')",0.0
"('Jhené Aiko', 'Miguel')",0.0
"('H.E.R.', 'Miguel')",0.0
"('Brent Faiyaz', 'Miguel')",0.0
"('Ro James', 'Miguel')",0.0
"('Syd', 'Miguel')",0.0
"('Bryson Tiller', 'Miguel')",0.0
"('PARTYNEXTDOOR', 'Miguel')",0.0
"('Roy Woods', 'Miguel')",0.0
"('Jeremih', 'Miguel')",0.0
"('Xavier Omär', 'Miguel')",0.0
"('Lloyd', 'Miguel')",0.0
"('Trey Songz', 'Miguel')",0.0
"('SiR', 'Miguel')",0.0
"('Teyana Taylor', 'Miguel')",0.0
"('The-Dream', 'Miguel')",0.0
"('Jazmine Sullivan', 'Miguel')",0.0
"('Keyshia Cole', 'Miguel')",0.0
"('Quavo', '21 Savage')",2.0
"('Young Thug', '21 Savage')",6.0
"('Gunna', '21 Savage')",2.0
"('Huncho Jack', '21 Savage')",0.0
"('Metro Boomin', '21 Savage')",114.0
"('Don Toliver', '21 Savage')",0.0
"('Sheck Wes', '21 Savage')",0.0
"('Lil Baby', '21 Savage')",0.0
"('Lil Keed', '21 Savage')",0.0
"('Lil Yachty', '21 Savage')",1.0
"('Trippie Redd', '21 Savage')",0.0
"('A$AP Mob', '21 Savage')",0.0
"('Migos', '21 Savage')",0.0
"('88GLAM', '21 Savage')",0.0
"('NAV', '21 Savage')",0.0
"('Young Nudy', '21 Savage')",5.0
