artist,related_to,id,popularity,followers,collaborations,genres_num,song_name,song_popularity,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
J. Cole,Drake,6l3HvQ5sa6mXTsMTB19rO5,84.0,17438272.0,2.0,4.0,She Knows (feat. Amber Coffman & Cults),82.0,6l3HvQ5sa6mXTsMTB19rO5,0.766,0.74,1.0,-10.363,1.0,0.0807,0.0193,0.0784,0.229,0.183,118.008,296520.0
J. Cole,Drake,6l3HvQ5sa6mXTsMTB19rO5,84.0,17438272.0,2.0,4.0,m y . l i f e (with 21 Savage & Morray),79.0,6l3HvQ5sa6mXTsMTB19rO5,0.597,0.587,7.0,-7.026,0.0,0.137,0.0622,0.0,0.214,0.0753,140.021,218802.0
J. Cole,Drake,6l3HvQ5sa6mXTsMTB19rO5,84.0,17438272.0,2.0,4.0,MIDDLE CHILD,80.0,6l3HvQ5sa6mXTsMTB19rO5,0.837,0.364,8.0,-11.713,1.0,0.276,0.149,0.0,0.271,0.463,123.984,213594.0
J. Cole,Drake,6l3HvQ5sa6mXTsMTB19rO5,84.0,17438272.0,2.0,4.0,a m a r i,75.0,6l3HvQ5sa6mXTsMTB19rO5,0.725,0.713,4.0,-6.173,0.0,0.187,0.127,0.0,0.617,0.207,65.988,148421.0
J. Cole,Drake,6l3HvQ5sa6mXTsMTB19rO5,84.0,17438272.0,2.0,4.0,Power Trip (feat. Miguel),77.0,6l3HvQ5sa6mXTsMTB19rO5,0.667,0.608,1.0,-7.054,1.0,0.216,0.324,0.000198,0.426,0.475,99.992,241160.0
J. Cole,Drake,6l3HvQ5sa6mXTsMTB19rO5,84.0,17438272.0,2.0,4.0,Work Out,81.0,6l3HvQ5sa6mXTsMTB19rO5,0.831,0.427,2.0,-6.903,1.0,0.106,0.0531,0.0,0.307,0.216,93.004,235320.0
J. Cole,Drake,6l3HvQ5sa6mXTsMTB19rO5,84.0,17438272.0,2.0,4.0,Wet Dreamz,83.0,6l3HvQ5sa6mXTsMTB19rO5,0.495,0.722,6.0,-8.108,0.0,0.357,0.0697,0.0,0.113,0.539,175.627,239267.0
J. Cole,Drake,6l3HvQ5sa6mXTsMTB19rO5,84.0,17438272.0,2.0,4.0,p r i d e . i s . t h e . d e v i l (with Lil Baby),79.0,6l3HvQ5sa6mXTsMTB19rO5,0.861,0.656,4.0,-7.867,0.0,0.425,0.104,0.0,0.0986,0.331,88.967,218210.0
J. Cole,Drake,6l3HvQ5sa6mXTsMTB19rO5,84.0,17438272.0,2.0,4.0,No Role Modelz,87.0,6l3HvQ5sa6mXTsMTB19rO5,0.69,0.521,10.0,-8.492,0.0,0.339,0.324,0.0,0.0534,0.494,100.028,292799.0
J. Cole,Drake,6l3HvQ5sa6mXTsMTB19rO5,84.0,17438272.0,2.0,4.0,Under The Sun (with J. Cole & Lute feat. DaBaby),75.0,6l3HvQ5sa6mXTsMTB19rO5,0.691,0.64,0.0,-6.441,1.0,0.369,0.511,0.0,0.409,0.163,138.672,202040.0
Meek Mill,Drake,20sxb77xiYeusSH8cVdatc,75.0,6359883.0,0.0,6.0,R.I.C.O. (feat. Drake),70.0,20sxb77xiYeusSH8cVdatc,0.727,0.599,1.0,-6.941,1.0,0.327,0.317,0.0,0.219,0.386,167.909,197133.0
Meek Mill,Drake,20sxb77xiYeusSH8cVdatc,75.0,6359883.0,0.0,6.0,All Eyes on You (feat. Chris Brown & Nicki Minaj),68.0,20sxb77xiYeusSH8cVdatc,0.589,0.658,11.0,-5.288,0.0,0.203,0.0242,0.0,0.118,0.251,77.521,223973.0
Meek Mill,Drake,20sxb77xiYeusSH8cVdatc,75.0,6359883.0,0.0,6.0,Going Bad (feat. Drake),79.0,20sxb77xiYeusSH8cVdatc,0.889,0.496,4.0,-6.365,0.0,0.0905,0.259,0.0,0.252,0.544,86.003,180522.0
Meek Mill,Drake,20sxb77xiYeusSH8cVdatc,75.0,6359883.0,0.0,6.0,Sharing Locations (feat. Lil Baby & Lil Durk),66.0,20sxb77xiYeusSH8cVdatc,0.681,0.63,1.0,-5.585,1.0,0.0385,0.00383,0.0,0.139,0.183,151.951,161053.0
