artist,related_to,genres,id,related_id,popularity,followers,collaborations
Drake,NA,,3TVXtAsR1Inumwj472S9r4,NA,95,64652317,0
Kanye West,NA,,5K4W6rqBFWDnAN6FQUkS6x,NA,90,17617569,0
Big Sean,Drake,,0c173mlxpT3dSFRgMO8XPh,3TVXtAsR1Inumwj472S9r4,78,9766529,5
J. Cole,Drake,,6l3HvQ5sa6mXTsMTB19rO5,3TVXtAsR1Inumwj472S9r4,84,17173439,2
Meek Mill,Drake,,20sxb77xiYeusSH8cVdatc,3TVXtAsR1Inumwj472S9r4,75,6275718,0
DJ Khaled,Drake,,0QHgL1lAIqAw0HtD7YldmP,3TVXtAsR1Inumwj472S9r4,76,7801700,0
Wale,Drake,,67nwj3Y5sZQLl72VNUHEYE,3TVXtAsR1Inumwj472S9r4,70,3692039,0
Rick Ross,Drake,,1sBkRIssrMs1AbVkOJbc7a,3TVXtAsR1Inumwj472S9r4,76,6011129,10
PARTYNEXTDOOR,Drake,,2HPaUgqeutzr3jx5a9WyDV,3TVXtAsR1Inumwj472S9r4,74,3915060,8
2 Chainz,Drake,,17lzZA2AlOHwCwFALHttmp,3TVXtAsR1Inumwj472S9r4,76,7236641,7
Tory Lanez,Drake,,2jku7tDXc6XoB6MO2hFuqg,3TVXtAsR1Inumwj472S9r4,78,4458884,0
Future,Drake,,1RyvyyTE3xzB2ZywiAwp0i,3TVXtAsR1Inumwj472S9r4,88,11754228,30
Young Thug,Drake,,50co4Is1HCEo8bhOyUWKpn,3TVXtAsR1Inumwj472S9r4,84,7321434,8
Jeremih,Drake,,3KV3p5EY4AvKxOlhGHORLg,3TVXtAsR1Inumwj472S9r4,74,5763972,0
Bryson Tiller,Drake,,2EMAnMvWE2eb56ToJVfCWs,3TVXtAsR1Inumwj472S9r4,77,5742801,0
French Montana,Drake,,6vXTefBL93Dj5IqAWq6OTv,3TVXtAsR1Inumwj472S9r4,76,4541344,0
Miguel,Drake,,360IAlyVv4PCEVjgyMZrxK,3TVXtAsR1Inumwj472S9r4,76,4073966,0
21 Savage,Drake,,1URnnhqYAYcrqrcwql10ft,3TVXtAsR1Inumwj472S9r4,85,11374939,4
Metro Boomin,Drake,,0iEtIxbK0KxaSlF7G42ZOp,3TVXtAsR1Inumwj472S9r4,77,2991253,0
Migos,Drake,,6oMuImdp5ZcFhWP0ESe6mG,3TVXtAsR1Inumwj472S9r4,77,12431842,0
Lil Wayne,Drake,,55Aa2cqylxrFIXC767Z865,3TVXtAsR1Inumwj472S9r4,84,12255072,32
