song_id,song_name,song_popularity,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),91,3TVXtAsR1Inumwj472S9r4,0.463,0.642,1,-4.474,1,0.34,0.314,0,0.0686,0.339,83.389,189893
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),91,3TVXtAsR1Inumwj472S9r4,0.529,0.673,0,-4.711,1,0.175,3.07e-4,2.41e-6,0.093,0.366,165.921,218365
5zyZM1EiSqrniyqtprwxpv,Falling Back,76,3TVXtAsR1Inumwj472S9r4,0.718,0.758,10,-8.29,1,0.0703,0.238,0.00653,0.11,0.349,118.989,266179
4rmVZajAF7PkrCagGPHbqa,Sticky,86,3TVXtAsR1Inumwj472S9r4,0.853,0.495,6,-14.63,1,0.14,0.0917,2.17e-4,0.0844,0.0774,137.027,243228
1zi7xx7UVEFkmKfv06H8x0,One Dance,86,3TVXtAsR1Inumwj472S9r4,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987
0oiv4E896TUTTeQU0cmIui,Massive,78,3TVXtAsR1Inumwj472S9r4,0.499,0.671,4,-6.774,0,0.0561,0.114,0.0169,0.148,0.0557,124.994,336924
2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),86,3TVXtAsR1Inumwj472S9r4,0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887,242966
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),85,3TVXtAsR1Inumwj472S9r4,0.666,0.465,1,-8.545,1,0.26,0.0503,0,0.215,0.292,167.937,291175
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,84,3TVXtAsR1Inumwj472S9r4,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941
65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),84,3TVXtAsR1Inumwj472S9r4,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-6,0.119,0.1,136.006,192956
06JvOZ39sK8D8SqiqfaxDU,True Love,88,5K4W6rqBFWDnAN6FQUkS6x,0.712,0.861,5,-5.487,0,0.25,0.0182,6.09e-6,0.511,0.388,84.042,148571
4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,84,5K4W6rqBFWDnAN6FQUkS6x,0.789,0.858,1,-5.542,1,0.311,0.127,0,0.349,0.775,140.022,219333
3sNVsP50132BTNlImLx70i,Bound 2,84,5K4W6rqBFWDnAN6FQUkS6x,0.367,0.665,1,-2.821,1,0.0465,0.145,0,0.113,0.31,148.913,229147
5TRPicyLGbAF2LGBFbHGvO,Flashing Lights,83,5K4W6rqBFWDnAN6FQUkS6x,0.639,0.628,6,-7.578,0,0.0399,0.0381,0,0.386,0.43,90.482,237507
4EWCNWgDS8707fNSZ1oaA5,Heartless,83,5K4W6rqBFWDnAN6FQUkS6x,0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,211000
0j2T0R9dR9qdJYsB7ciXhf,Stronger,82,5K4W6rqBFWDnAN6FQUkS6x,0.617,0.717,10,-7.858,0,0.153,0.00564,0,0.408,0.49,103.992,311867
4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,82,5K4W6rqBFWDnAN6FQUkS6x,0.724,0.573,7,-4.113,1,0.0549,0.118,0,0.538,0.438,113.088,135920
0WSEq9Ko4kFPt8yo3ICd6T,Praise God,82,5K4W6rqBFWDnAN6FQUkS6x,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-5,0.258,0.212,118.029,226653
5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,80,5K4W6rqBFWDnAN6FQUkS6x,0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,223507
7rbECVPkY5UODxoOUVKZnA,I Wonder,80,5K4W6rqBFWDnAN6FQUkS6x,0.542,0.466,0,-8.665,1,0.0831,0.141,4.45e-4,0.125,0.124,191.385,243440
5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",82,0c173mlxpT3dSFRgMO8XPh,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,223413
33gwZOGJWEZ7dRWPqPxBEZ,Wolves (feat. Post Malone),77,0c173mlxpT3dSFRgMO8XPh,0.724,0.675,2,-5.267,1,0.0867,0.0978,9.41e-6,0.351,0.325,160.048,199758
7FYH5AW3bVfZHJIQpq3UOA,I Don't Fuck With You,75,0c173mlxpT3dSFRgMO8XPh,0.824,0.733,1,-5.474,1,0.0613,0.0362,0,0.325,0.395,97.972,284387
6rje9f1wRFJDO2iTORw0lH,I Know,75,0c173mlxpT3dSFRgMO8XPh,0.733,0.334,1,-11.314,1,0.0811,0.327,0,0.116,0.267,119.935,319973
6bxUnsSGZCmoHHU5auwtps,Beware,74,0c173mlxpT3dSFRgMO8XPh,0.7,0.554,1,-5.909,1,0.187,0.219,1.36e-6,0.419,0.0633,97.127,235187
0SGkqnVQo9KPytSri1H6cF,Bounce Back,72,0c173mlxpT3dSFRgMO8XPh,0.78,0.575,1,-5.628,0,0.139,0.106,0,0.129,0.273,81.502,222360
3pEINn37iH5fx8TpXYNGIO,Hate Our Love (with Big Sean),70,0c173mlxpT3dSFRgMO8XPh,0.662,0.655,2,-5.44,1,0.26,0.462,0,0.124,0.356,82.079,226374
2nBI3iWLhupR7LyAJ5GGkE,Champions,68,0c173mlxpT3dSFRgMO8XPh,0.692,0.774,6,-2.48,0,0.0876,0.0623,0,0.873,0.349,134.952,334253
65rRB2mspD309xE6YimZTl,Clique,67,0c173mlxpT3dSFRgMO8XPh,0.66,0.539,9,-5.947,0,0.324,0.0534,0,0.222,0.307,109.318,293613
36xxq7VDZZsGwARsn6Clo7,Living Single,66,0c173mlxpT3dSFRgMO8XPh,0.714,0.62,11,-5.045,1,0.296,0.223,0,0.109,0.73,80.109,276347
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,88,6l3HvQ5sa6mXTsMTB19rO5,0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,292799
4tqcoej1zPvwePZCzuAjJd,Wet Dreamz,83,6l3HvQ5sa6mXTsMTB19rO5,0.495,0.722,6,-8.108,0,0.357,0.0697,0,0.113,0.539,175.627,239267
0Fs9cdPDhptWEDJmiCbkEW,She Knows (feat. Amber Coffman & Cults),83,6l3HvQ5sa6mXTsMTB19rO5,0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,0.183,118.008,296520
2wAJTrFhCnQyNSD3oUgTZO,Work Out,82,6l3HvQ5sa6mXTsMTB19rO5,0.831,0.427,2,-6.903,1,0.106,0.0531,0,0.307,0.216,93.004,235320
2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,81,6l3HvQ5sa6mXTsMTB19rO5,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,213594
5W8jRrZ6tWrTrqnKRtIQBf,p r i d e . i s . t h e . d e v i l (with Lil Baby),79,6l3HvQ5sa6mXTsMTB19rO5,0.861,0.656,4,-7.867,0,0.425,0.104,0,0.0986,0.331,88.967,218210
1D3z6HTiQsNmZxjl7F7eoG,m y . l i f e (with 21 Savage & Morray),79,6l3HvQ5sa6mXTsMTB19rO5,0.597,0.587,7,-7.026,0,0.137,0.0622,0,0.214,0.0753,140.021,218802
2uwnP6tZVVmTovzX5ELooy,Power Trip (feat. Miguel),77,6l3HvQ5sa6mXTsMTB19rO5,0.667,0.608,1,-7.054,1,0.216,0.324,1.98e-4,0.426,0.475,99.992,241160
5vhrsx08dHh2QcVh1Rsiwt,LONDON (feat. J. Cole),76,6l3HvQ5sa6mXTsMTB19rO5,0.644,0.671,11,-5.156,0,0.315,0.0225,0,0.0855,0.563,132.001,250723
6MF4tRr5lU8qok8IKaFOBE,Under The Sun (with J. Cole & Lute feat. DaBaby),75,6l3HvQ5sa6mXTsMTB19rO5,0.691,0.64,0,-6.441,1,0.369,0.511,0,0.409,0.163,138.672,202040
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),80,20sxb77xiYeusSH8cVdatc,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,180522
42zd6DYQ4o4SECmTITrM1U,Dreams and Nightmares,73,20sxb77xiYeusSH8cVdatc,0.631,0.774,11,-2.459,1,0.3,0.468,0,0.281,0.44,79.745,230693
3i1B1PnsfnOQPGVIzhf1lr,"That's My N**** (with Meek Mill, YG & Snoop Dogg)",72,20sxb77xiYeusSH8cVdatc,0.723,0.732,11,-5.514,1,0.0864,0.11,0,0.484,0.503,104.991,199747
3T9BKc4kB7ukeNQrCqv6ZV,Sharing Locations (feat. Lil Baby & Lil Durk),67,20sxb77xiYeusSH8cVdatc,0.681,0.63,1,-5.585,1,0.0385,0.00383,0,0.139,0.183,151.951,161053
0Y0TOsE1q11qgbi7c5WZsG,R.I.C.O. (feat. Drake),71,20sxb77xiYeusSH8cVdatc,0.727,0.599,1,-6.941,1,0.327,0.317,0,0.219,0.386,167.909,197133
0hy1SOTEn9ifXTzOwnCwEr,All Eyes on You (feat. Chris Brown & Nicki Minaj),69,20sxb77xiYeusSH8cVdatc,0.589,0.658,11,-5.288,0,0.203,0.0242,0,0.118,0.251,77.521,223973
7Gs3otHnZDq514kFHf0nx7,Blue Notes,66,20sxb77xiYeusSH8cVdatc,0.515,0.431,4,-8.251,1,0.257,0.665,0,0.147,0.184,141.392,227809
5cAN3P7jWVf78gev1eF7TJ,Still Runnin (feat. Meek Mill),66,20sxb77xiYeusSH8cVdatc,0.856,0.727,2,-5.616,1,0.277,0.013,0,0.117,0.286,146.044,173419
7sjwaBQ6M3aVigYfBjm1sL,Ima Boss (feat. Rick Ross),65,20sxb77xiYeusSH8cVdatc,0.37,0.87,5,-2.09,1,0.271,0.0415,0,0.604,0.331,79.092,250240
5qyZ6LcHvBiIHLaoED8K4g,Hot (feat. Moneybagg Yo),65,20sxb77xiYeusSH8cVdatc,0.773,0.623,2,-5.267,1,0.196,0.00194,0,0.133,0.13,153.1,150527
1EJIcDYXwSqipW5dFe4uJz,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),78,0QHgL1lAIqAw0HtD7YldmP,0.477,0.727,2,-4.053,1,0.286,8.66e-4,0,0.108,0.227,150.062,236524
1sbEeUY8KsdvgiQi26JBFz,POPSTAR (feat. Drake),69,0QHgL1lAIqAw0HtD7YldmP,0.803,0.565,5,-4.711,0,0.235,0.0558,0,0.141,0.474,163.085,200221
0rsTDgGRlXKuzSAxcdb4Ns,Borracho,76,0QHgL1lAIqAw0HtD7YldmP,0.787,0.748,8,-3.752,0,0.0797,0.571,0,0.214,0.703,93.006,219750
4nmD4awtUUCC4AGETpUiuP,Big Energy (feat. DJ Khaled) - Remix,75,0QHgL1lAIqAw0HtD7YldmP,0.867,0.771,11,-3.688,0,0.0939,0.0385,0,0.133,0.715,106.021,181666
3gruCKVuhCsRjs3a3dG8CA,GREECE (feat. Drake),69,0QHgL1lAIqAw0HtD7YldmP,0.687,0.336,5,-10.748,1,0.0456,0.0755,0,0.126,0.215,85.828,219270
45XhKYRRkyeqoW3teSOkCM,Wild Thoughts (feat. Rihanna & Bryson Tiller),66,0QHgL1lAIqAw0HtD7YldmP,0.613,0.681,8,-3.089,1,0.0778,0.0287,0,0.126,0.619,97.621,204664
1jYiIOC5d6soxkJP81fxq2,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",67,0QHgL1lAIqAw0HtD7YldmP,0.599,0.667,7,-4.267,1,0.0367,0.0533,0,0.134,0.817,80.984,288877
