artist,related_to,genres,id,related_id,popularity,followers,collaborations,genres_num
J. Cole,Drake,['conscious hip hop' 'hip hop' 'north carolina hip hop' 'rap'],6l3HvQ5sa6mXTsMTB19rO5,3TVXtAsR1Inumwj472S9r4,84.0,17438272.0,2.0,4.0
Meek Mill,Drake,['hip hop' 'philly rap' 'pop rap' 'rap' 'southern hip hop' 'trap'],20sxb77xiYeusSH8cVdatc,3TVXtAsR1Inumwj472S9r4,75.0,6359883.0,0.0,6.0
DJ Khaled,Drake,"['dance pop' 'dirty south rap' 'hip hop' 'miami hip hop' 'pop' 'pop rap'
 'rap' 'southern hip hop' 'trap']",0QHgL1lAIqAw0HtD7YldmP,3TVXtAsR1Inumwj472S9r4,76.0,7974759.0,0.0,9.0
Rick Ross,Drake,"['dirty south rap' 'gangster rap' 'hip hop' 'pop rap' 'rap'
 'southern hip hop' 'trap']",1sBkRIssrMs1AbVkOJbc7a,3TVXtAsR1Inumwj472S9r4,76.0,6101612.0,10.0,7.0
Wale,Drake,"['dance pop' 'gangster rap' 'hip hop' 'pop' 'pop rap' 'r&b' 'rap'
 'southern hip hop' 'trap' 'urban contemporary']",67nwj3Y5sZQLl72VNUHEYE,3TVXtAsR1Inumwj472S9r4,70.0,3728546.0,0.0,10.0
PARTYNEXTDOOR,Drake,['pop' 'pop rap' 'r&b' 'rap' 'toronto rap' 'trap' 'urban contemporary'],2HPaUgqeutzr3jx5a9WyDV,3TVXtAsR1Inumwj472S9r4,74.0,3993881.0,8.0,7.0
2 Chainz,Drake,"['atl hip hop' 'gangster rap' 'hip hop' 'pop rap' 'rap' 'southern hip hop'
 'trap']",17lzZA2AlOHwCwFALHttmp,3TVXtAsR1Inumwj472S9r4,76.0,7293795.0,7.0,7.0
Tory Lanez,Drake,"['canadian hip hop' 'canadian trap' 'melodic rap' 'pop rap' 'rap'
 'toronto rap' 'trap']",2jku7tDXc6XoB6MO2hFuqg,3TVXtAsR1Inumwj472S9r4,78.0,4506335.0,0.0,7.0
Future,Drake,['atl hip hop' 'rap' 'southern hip hop' 'trap'],1RyvyyTE3xzB2ZywiAwp0i,3TVXtAsR1Inumwj472S9r4,87.0,11912610.0,30.0,4.0
Young Thug,Drake,"['atl hip hop' 'atl trap' 'gangster rap' 'hip hop' 'melodic rap' 'pop rap'
 'rap' 'southern hip hop' 'trap']",50co4Is1HCEo8bhOyUWKpn,3TVXtAsR1Inumwj472S9r4,84.0,7394197.0,8.0,9.0
Jeremih,Drake,"['chicago rap' 'dance pop' 'pop' 'pop rap' 'r&b' 'southern hip hop' 'trap'
 'urban contemporary']",3KV3p5EY4AvKxOlhGHORLg,3TVXtAsR1Inumwj472S9r4,74.0,5819096.0,0.0,8.0
Bryson Tiller,Drake,['kentucky hip hop' 'pop' 'pop rap' 'r&b' 'rap' 'trap'],2EMAnMvWE2eb56ToJVfCWs,3TVXtAsR1Inumwj472S9r4,77.0,5815028.0,0.0,6.0
French Montana,Drake,['gangster rap' 'hip hop' 'pop rap' 'rap' 'southern hip hop' 'trap'],6vXTefBL93Dj5IqAWq6OTv,3TVXtAsR1Inumwj472S9r4,77.0,4589280.0,0.0,6.0
Miguel,Drake,['dance pop' 'pop' 'r&b' 'urban contemporary'],360IAlyVv4PCEVjgyMZrxK,3TVXtAsR1Inumwj472S9r4,76.0,4121900.0,0.0,4.0
21 Savage,Drake,['atl hip hop' 'rap' 'trap'],1URnnhqYAYcrqrcwql10ft,3TVXtAsR1Inumwj472S9r4,86.0,11513911.0,4.0,3.0
Metro Boomin,Drake,['hip hop' 'rap' 'southern hip hop' 'trap'],0iEtIxbK0KxaSlF7G42ZOp,3TVXtAsR1Inumwj472S9r4,78.0,3019803.0,0.0,4.0
Migos,Drake,['atl hip hop' 'hip hop' 'pop rap' 'rap' 'trap'],6oMuImdp5ZcFhWP0ESe6mG,3TVXtAsR1Inumwj472S9r4,77.0,12488579.0,0.0,5.0
Ty Dolla ign,Drake,['hip hop' 'pop' 'pop rap' 'r&b' 'southern hip hop' 'trap' 'trap soul'],7c0XG5cIJTrrAgEC3ULPiq,3TVXtAsR1Inumwj472S9r4,80.0,4303762.0,4.0,7.0
Lil Wayne,Drake,['hip hop' 'new orleans rap' 'pop rap' 'rap' 'trap'],55Aa2cqylxrFIXC767Z865,3TVXtAsR1Inumwj472S9r4,85.0,12394755.0,32.0,5.0
Wale,Big Sean,"['dance pop' 'gangster rap' 'hip hop' 'pop' 'pop rap' 'r&b' 'rap'
 'southern hip hop' 'trap' 'urban contemporary']",67nwj3Y5sZQLl72VNUHEYE,0c173mlxpT3dSFRgMO8XPh,70.0,3728546.0,2.0,10.0
2 Chainz,Big Sean,"['atl hip hop' 'gangster rap' 'hip hop' 'pop rap' 'rap' 'southern hip hop'
 'trap']",17lzZA2AlOHwCwFALHttmp,0c173mlxpT3dSFRgMO8XPh,76.0,7293795.0,5.0,7.0
Rick Ross,Big Sean,"['dirty south rap' 'gangster rap' 'hip hop' 'pop rap' 'rap'
 'southern hip hop' 'trap']",1sBkRIssrMs1AbVkOJbc7a,0c173mlxpT3dSFRgMO8XPh,76.0,6101612.0,3.0,7.0
Young Money,Big Sean,"['dance pop' 'dirty south rap' 'gangster rap' 'hip hop' 'pop rap' 'r&b'
 'rap' 'southern hip hop' 'trap']",5OrB6Jhhrl9y2PK0pSV4VP,0c173mlxpT3dSFRgMO8XPh,62.0,2541445.0,0.0,9.0
ScHoolboy Q,Big Sean,"['gangster rap' 'hip hop' 'pop rap' 'rap' 'southern hip hop' 'trap'
 'underground hip hop']",5IcR3N7QB1j6KBL8eImZ8m,0c173mlxpT3dSFRgMO8XPh,72.0,4260804.0,0.0,7.0
Meek Mill,Big Sean,['hip hop' 'philly rap' 'pop rap' 'rap' 'southern hip hop' 'trap'],20sxb77xiYeusSH8cVdatc,0c173mlxpT3dSFRgMO8XPh,75.0,6359883.0,3.0,6.0
